MainBranch,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,LanguageHaveWorkedWith,AISearchHaveWorkedWith,AIDevHaveWorkedWith,WorkExp,Industry,ConvertedCompYearly
,35-44 years old,,In-person,,13,6,Data or business analyst,"1,000 to 4,999 employees",Brazil,HTML/CSS;JavaScript;Python;R;SQL,ChatGPT,GitHub Copilot,15.0,Higher Education,12132.0
,45-54 years old,,Remote,,45,15,Other (please specify):,2 to 9 employees,United States of America,Bash/Shell (all shells);Go;JavaScript;TypeScript,ChatGPT;Neeva AI;WolframAlpha,GitHub Copilot;Tabnine,35.0,"Information Services, IT, Software Development, or other Technology",250000.0
,35-44 years old,,Remote,,20,16,"Developer, full-stack",2 to 9 employees,Brazil,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,ChatGPT,GitHub Copilot,20.0,"Information Services, IT, Software Development, or other Technology",73035.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,10,6,"Developer, full-stack","10,000 or more employees",United States of America,C#;JavaScript;SQL,ChatGPT,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",175000.0
,25-34 years old,,In-person,,12,8,"Developer, full-stack",20 to 99 employees,"Iran, Islamic Republic of...",Bash/Shell (all shells);C;C#;C++;F#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Prolog;Python;SQL;TypeScript,Bing AI;ChatGPT;WolframAlpha;You.com,GitHub Copilot;Tabnine,8.0,"Information Services, IT, Software Development, or other Technology",70867.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,4,4,"Developer, full-stack",2 to 9 employees,United States of America,TypeScript,ChatGPT,GitHub Copilot,4.0,Financial Services,200000.0
,35-44 years old,,Remote,,11,10,"Developer, full-stack",10 to 19 employees,United States of America,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,ChatGPT,AWS CodeWhisperer,22.0,Retail and Consumer Services,140000.0
,18-24 years old,,In-person,,5,2,"Developer, full-stack",10 to 19 employees,Togo,Assembly;C;C#;C++;Dart;Delphi;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA;Visual Basic (.Net),Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",1960.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,19,14,"Developer, full-stack",10 to 19 employees,Netherlands,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;VBA,ChatGPT;WolframAlpha,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",48190.0
,18-24 years old,,Remote,,8,2,"Developer, full-stack",I don’t know,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,2.0,"Manufacturing, Transportation, or Supply Chain",43448.0
,25-34 years old,,Remote,,20,15,Engineering manager,100 to 499 employees,United States of America,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,17.0,Financial Services,400000.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,32,27,Engineering manager,500 to 999 employees,Denmark,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL;Swift,Bing AI,GitHub Copilot,35.0,Insurance,208488.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,16,16,"Developer, full-stack",2 to 9 employees,France,HTML/CSS;JavaScript;Ruby;SQL,ChatGPT,GitHub Copilot,20.0,"Information Services, IT, Software Development, or other Technology",53545.0
,25-34 years old,,Remote,,10,2,Scientist,20 to 99 employees,Spain,Assembly;Bash/Shell (all shells);C;C#;C++;Fortran;Haskell;Java;Lisp;MATLAB;PowerShell;Python;SQL,ChatGPT;WolframAlpha,GitHub Copilot,2.0,Higher Education,10281.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,15,8,"Developer, back-end",20 to 99 employees,Spain,HTML/CSS;JavaScript;Python;SQL,ChatGPT,GitHub Copilot,10.0,Financial Services,48190.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,12,11,"Developer, desktop or enterprise applications",500 to 999 employees,Czech Republic,C#;Python;TypeScript,Bing AI,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",109185.0
,25-34 years old,,Remote,,10,8,Cloud infrastructure engineer,"1,000 to 4,999 employees",United States of America,Bash/Shell (all shells);Elixir;Go;Java;JavaScript;Python;Rust;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,8.0,"Information Services, IT, Software Development, or other Technology",320000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,15,11,Engineering manager,"10,000 or more employees",United States of America,Bash/Shell (all shells);C#;Fortran;TypeScript;Visual Basic (.Net),Bing AI;ChatGPT,GitHub Copilot,11.0,Oil & Gas,170000.0
,55-64 years old,,In-person,,44,32,"Developer, full-stack",100 to 499 employees,France,C;HTML/CSS;Java;JavaScript;SQL,Bing AI;ChatGPT,GitHub Copilot,32.0,"Information Services, IT, Software Development, or other Technology",74963.0
,35-44 years old,,Remote,,8,4,"Developer, back-end","5,000 to 9,999 employees",Spain,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;Solidity;SQL;TypeScript;VBA,ChatGPT,AWS CodeWhisperer,3.0,Financial Services,53545.0
,25-34 years old,,In-person,,16,8,Engineering manager,20 to 99 employees,United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;Haskell;JavaScript;MATLAB;Perl;PowerShell;Python;R;SQL,WolframAlpha,GitHub Copilot,8.0,"Manufacturing, Transportation, or Supply Chain",250000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,25,17,"Developer, full-stack","5,000 to 9,999 employees",United States of America,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,23.0,Financial Services,400000.0
,35-44 years old,,In-person,,20,12,"Developer, full-stack",10 to 19 employees,Israel,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;SQL;TypeScript;Visual Basic (.Net),ChatGPT,GitHub Copilot,12.0,Insurance,133640.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,16,13,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Canada,Bash/Shell (all shells);C#;Go;JavaScript;Python;SQL;TypeScript,Bing AI;ChatGPT;Neeva AI;Quora Poe;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Tabnine,15.0,"Manufacturing, Transportation, or Supply Chain",594811.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,10,7,"Developer, full-stack",2 to 9 employees,Indonesia,HTML/CSS;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",20200.0
,45-54 years old,,In-person,,24,19,"Developer, embedded applications or devices",20 to 99 employees,United States of America,Bash/Shell (all shells);C;C#;C++;Java;JavaScript,ChatGPT;Google Bard AI,GitHub Copilot,19.0,"Information Services, IT, Software Development, or other Technology",130000.0
,45-54 years old,,Remote,,30,27,"Developer, full-stack",2 to 9 employees,United States of America,C#;HTML/CSS;Java;JavaScript;SQL,ChatGPT;Google Bard AI,GitHub Copilot,35.0,Financial Services,160000.0
,25-34 years old,,Remote,,18,8,"Developer, back-end",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Python,ChatGPT,GitHub Copilot,18.0,"Information Services, IT, Software Development, or other Technology",136552.0
,25-34 years old,,Remote,,7,7,"Developer, full-stack",20 to 99 employees,Malaysia,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,Bing AI;ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",24898.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,25,15,"Senior Executive (C-Suite, VP, etc.)",100 to 499 employees,Canada,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,20.0,"Information Services, IT, Software Development, or other Technology",230489.0
,35-44 years old,,Remote,,23,15,"Developer, full-stack","1,000 to 4,999 employees",Netherlands,C#;TypeScript,Bing AI;ChatGPT,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",64254.0
,25-34 years old,,Remote,,13,9,Cloud infrastructure engineer,"1,000 to 4,999 employees",United States of America,Bash/Shell (all shells);Go;Python;Rust;SQL,ChatGPT,GitHub Copilot,9.0,"Information Services, IT, Software Development, or other Technology",383000.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,26,24,"Developer, back-end","5,000 to 9,999 employees",United States of America,Scala,Bing AI;ChatGPT,GitHub Copilot,22.0,Healthcare,180000.0
,25-34 years old,,Remote,,6,4,"Developer, full-stack",100 to 499 employees,United States of America,C#;C++;Go;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,ChatGPT,GitHub Copilot;Tabnine,4.0,"Information Services, IT, Software Development, or other Technology",215000.0
,25-34 years old,,Remote,,7,5,"Developer, full-stack",20 to 99 employees,Mexico,HTML/CSS;JavaScript;Ruby;SQL,ChatGPT,GitHub Copilot,5.0,"Information Services, IT, Software Development, or other Technology",171748.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,3,"Developer, mobile",20 to 99 employees,United States of America,C;C#;C++;Java;Kotlin;Python;Rust;Swift,ChatGPT,GitHub Copilot,3.0,"Manufacturing, Transportation, or Supply Chain",110000.0
,35-44 years old,,Remote,,25,18,Other (please specify):,100 to 499 employees,United States of America,Julia,ChatGPT,GitHub Copilot,18.0,"Information Services, IT, Software Development, or other Technology",220000.0
,35-44 years old,,Remote,,17,22,"Developer, front-end","10,000 or more employees",United States of America,C#;HTML/CSS;JavaScript;Kotlin;Python;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,17.0,"Information Services, IT, Software Development, or other Technology",280000.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,17,7,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Austria,Assembly;Bash/Shell (all shells);C#;Dart;F#;Go;HTML/CSS;JavaScript;Julia;Kotlin;Lisp;PHP;PowerShell;Python;R;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,7.0,"Information Services, IT, Software Development, or other Technology",85672.0
,25-34 years old,,Remote,,12,8,"Developer, back-end",100 to 499 employees,India,Java;JavaScript;Python;TypeScript,ChatGPT,Synk Code,8.0,"Information Services, IT, Software Development, or other Technology",58161.0
,35-44 years old,,Remote,,20,12,"Developer, full-stack",100 to 499 employees,United States of America,C;C++;Go;JavaScript;PowerShell;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,16.0,"Manufacturing, Transportation, or Supply Chain",200.0
,25-34 years old,,Remote,,8,6,"Developer, back-end",100 to 499 employees,Poland,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,Bing AI;ChatGPT;Phind;You.com,GitHub Copilot,7.0,Financial Services,80392.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,19,12,DevOps specialist,10 to 19 employees,Germany,Bash/Shell (all shells);Go;Java;TypeScript,ChatGPT,GitHub Copilot,11.0,"Information Services, IT, Software Development, or other Technology",101735.0
,18-24 years old,,Remote,,2,1,"Developer, back-end",2 to 9 employees,Colombia,HTML/CSS;JavaScript;PHP;SQL,ChatGPT,AWS CodeWhisperer,5.0,Higher Education,1000.0
,35-44 years old,,Remote,,26,21,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,United States of America,Assembly;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ChatGPT,GitHub Copilot,22.0,"Manufacturing, Transportation, or Supply Chain",400000.0
,45-54 years old,,Remote,,26,26,Other (please specify):,"10,000 or more employees",United States of America,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,26.0,Retail and Consumer Services,172000.0
,45-54 years old,,In-person,,35,25,Academic researcher,"1,000 to 4,999 employees",Mexico,Assembly;C;JavaScript;MATLAB;R,Google Bard AI;WolframAlpha,GitHub Copilot,29.0,Higher Education,42937.0
,25-34 years old,,Remote,,14,11,"Developer, full-stack",20 to 99 employees,Argentina,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,ChatGPT,GitHub Copilot;Tabnine,11.0,Financial Services,53545.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,6,2,"Developer, back-end",100 to 499 employees,Norway,Java;Kotlin;Scala,ChatGPT,GitHub Copilot,2.0,Healthcare,54368.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,14,9,"Developer, full-stack",100 to 499 employees,Kenya,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,9.0,Financial Services,68451.0
,35-44 years old,,Remote,,30,20,"Developer, full-stack",20 to 99 employees,United States of America,Bash/Shell (all shells);C#;F#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;Rust;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,20.0,Oil & Gas,177500.0
,55-64 years old,,Remote,,32,30,"Developer, full-stack",2 to 9 employees,United States of America,HTML/CSS;JavaScript;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,30.0,"Information Services, IT, Software Development, or other Technology",190000.0
,18-24 years old,,Remote,,6,3,"Developer, back-end",500 to 999 employees,Brazil,C#;C++;Python,Bing AI;ChatGPT,Tabnine,3.0,Financial Services,10144.0
,35-44 years old,,Remote,,4,3,"Developer, back-end",100 to 499 employees,Portugal,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,ChatGPT,GitHub Copilot;Tabnine,13.0,Insurance,51724.0
,55-64 years old,,"Hybrid (some remote, some in-person)",,40,38,"Developer, back-end","10,000 or more employees",United States of America,C#;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,40.0,"Information Services, IT, Software Development, or other Technology",900000.0
,55-64 years old,,Remote,,42,35,"Developer, full-stack",20 to 99 employees,United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;F#;Go;Haskell;HTML/CSS;Java;JavaScript;Julia;Lisp;Objective-C;PowerShell;Prolog;Python;R;Rust;SQL;Swift;TypeScript;VBA;Zig,ChatGPT,GitHub Copilot,35.0,Financial Services,350000.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,13,8,"Developer, desktop or enterprise applications",100 to 499 employees,United States of America,Bash/Shell (all shells);C#;JavaScript;PowerShell;Python,Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,20.0,"Information Services, IT, Software Development, or other Technology",120000.0
,25-34 years old,,Remote,,16,6,Cloud infrastructure engineer,20 to 99 employees,Canada,Go;Java;JavaScript;Scala,Bing AI;ChatGPT,GitHub Copilot,9.0,"Information Services, IT, Software Development, or other Technology",171008.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,21,12,"Developer, back-end",10 to 19 employees,United States of America,Assembly;Bash/Shell (all shells);Go;Python;Ruby;Rust;SQL,ChatGPT,GitHub Copilot,18.0,"Information Services, IT, Software Development, or other Technology",325000.0
,35-44 years old,,Remote,,26,13,"Developer, back-end",500 to 999 employees,United States of America,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Google Bard AI,Tabnine,13.0,Healthcare,140000.0
,35-44 years old,,Remote,,24,20,"Developer, full-stack",100 to 499 employees,United States of America,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot,20.0,"Information Services, IT, Software Development, or other Technology",137000.0
,25-34 years old,,Remote,,9,5,"Developer, full-stack","1,000 to 4,999 employees",Canada,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,5.0,Financial Services,93683.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,6,2,"Developer, front-end","1,000 to 4,999 employees",United States of America,HTML/CSS;TypeScript,ChatGPT;Perplexity AI,GitHub Copilot;Tabnine,2.0,"Manufacturing, Transportation, or Supply Chain",85000.0
,25-34 years old,,Remote,,7,7,"Developer, full-stack",500 to 999 employees,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,4.0,Advertising Services,600000.0
,25-34 years old,,Remote,,15,11,"Developer, front-end",100 to 499 employees,United States of America,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,11.0,Advertising Services,160000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,23,12,"Developer, full-stack","1,000 to 4,999 employees",Switzerland,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",117931.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,17,11,Academic researcher,500 to 999 employees,Germany,Go,ChatGPT,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",64254.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,6,1,"Developer, full-stack",20 to 99 employees,Germany,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,ChatGPT,GitHub Copilot,1.0,"Manufacturing, Transportation, or Supply Chain",58899.0
,45-54 years old,,Remote,,30,25,"Developer, full-stack",2 to 9 employees,United States of America,JavaScript;PHP;SQL,Bing AI;ChatGPT;Google Bard AI;Phind,GitHub Copilot,30.0,"Information Services, IT, Software Development, or other Technology",70000.0
,35-44 years old,,Remote,,28,24,Product manager,"10,000 or more employees",United States of America,C#,Bing AI;ChatGPT,GitHub Copilot,16.0,"Information Services, IT, Software Development, or other Technology",319000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,8,6,"Developer, back-end",100 to 499 employees,Sweden,C#;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",55285.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,30,17,"Developer, back-end",2 to 9 employees,Sweden,Bash/Shell (all shells);Go;HTML/CSS;Java;Kotlin;TypeScript,ChatGPT,GitHub Copilot,18.0,Healthcare,72976.0
,25-34 years old,,Remote,,6,1,"Developer, desktop or enterprise applications","10,000 or more employees",United States of America,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;R;Rust;SAS,ChatGPT;Phind,GitHub Copilot,2.0,Healthcare,93000.0
,25-34 years old,,Remote,,12,11,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Germany,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;SQL,ChatGPT;WolframAlpha,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",70679.0
,25-34 years old,,Remote,,15,10,Engineering manager,100 to 499 employees,United States of America,Bash/Shell (all shells);Haskell;JavaScript;Python;Rust;SQL;TypeScript,ChatGPT;WolframAlpha,Synk Code,10.0,"Information Services, IT, Software Development, or other Technology",206000.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,6,2,"Developer, mobile",100 to 499 employees,Brazil,HTML/CSS;JavaScript;TypeScript,Bing AI;ChatGPT,GitHub Copilot;Tabnine,2.0,"Information Services, IT, Software Development, or other Technology",11280.0
,25-34 years old,,Remote,,13,8,"Developer, back-end",500 to 999 employees,United States of America,HTML/CSS;JavaScript;PHP;Ruby;SQL,ChatGPT,GitHub Copilot,8.0,"Manufacturing, Transportation, or Supply Chain",160000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,18,10,"Engineer, data","10,000 or more employees",Denmark,Bash/Shell (all shells);C#;Python;Scala;SQL,Bing AI;ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",160000.0
,25-34 years old,,Remote,,16,4,"Developer, mobile",20 to 99 employees,United States of America,Dart;Elixir;JavaScript;Python;SQL;Swift;TypeScript,WolframAlpha,GitHub Copilot,4.0,"Information Services, IT, Software Development, or other Technology",100000.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,12,10,"Developer, embedded applications or devices",2 to 9 employees,Switzerland,C;C#;C++;Java;JavaScript;Python;Rust,ChatGPT;Google Bard AI;WolframAlpha,GitHub Copilot,3.0,Higher Education,90377.0
,25-34 years old,,Remote,,12,9,"Developer, full-stack",2 to 9 employees,Dominican Republic,HTML/CSS;JavaScript;Python,ChatGPT,GitHub Copilot,9.0,Legal Services,90000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,9,7,"Developer, back-end",100 to 499 employees,Ethiopia,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",11001.0
,35-44 years old,,Remote,,23,20,"Developer, full-stack",20 to 99 employees,Germany,HTML/CSS;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,23.0,Retail and Consumer Services,58899.0
,45-54 years old,,Remote,,31,20,"Developer, back-end","10,000 or more employees",United States of America,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,ChatGPT,GitHub Copilot,20.0,Higher Education,147000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,3,"Developer, back-end","10,000 or more employees",Germany,Bash/Shell (all shells);C++;HTML/CSS;Java;Kotlin;Python;Scala;SQL,Bing AI,GitHub Copilot;Tabnine,3.0,"Information Services, IT, Software Development, or other Technology",93703.0
,25-34 years old,,Remote,,10,6,"Developer, full-stack",100 to 499 employees,United States of America,HTML/CSS;JavaScript;Python;TypeScript,ChatGPT,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",160000.0
,35-44 years old,,Remote,,17,10,"Developer, game or graphics",2 to 9 employees,United States of America,C#;HTML/CSS;JavaScript,Bing AI;ChatGPT;WolframAlpha;You.com,GitHub Copilot,11.0,"Information Services, IT, Software Development, or other Technology",80000.0
,35-44 years old,,Remote,,27,13,"Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,United States of America,Assembly;Bash/Shell (all shells);C;C#;Clojure;F#;Haskell;HTML/CSS;Java;JavaScript;Lisp;Python;SQL;TypeScript;Visual Basic (.Net),Bing AI;ChatGPT;Google Bard AI,GitHub Copilot,13.0,Healthcare,250000.0
,35-44 years old,,Remote,,15,13,"Developer, back-end",500 to 999 employees,United States of America,JavaScript;TypeScript,ChatGPT,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",185000.0
,35-44 years old,,Remote,,20,15,"Developer, full-stack","10,000 or more employees",Canada,C#;HTML/CSS;JavaScript;TypeScript,Bing AI,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",111527.0
,35-44 years old,,Remote,,7,1,"Developer, front-end",100 to 499 employees,Canada,HTML/CSS;Java;JavaScript;PHP;PowerShell;Prolog;Python;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,1.0,Legal Services,31228.0
,25-34 years old,,In-person,,16,1,System administrator,"5,000 to 9,999 employees",United States of America,Elixir;Erlang;HTML/CSS;JavaScript;PowerShell;Ruby;Rust;SQL,Bing AI;ChatGPT,GitHub Copilot,5.0,Higher Education,97660.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,18,12,Engineering manager,"1,000 to 4,999 employees",Germany,Bash/Shell (all shells);HTML/CSS;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",138146.0
,25-34 years old,,Remote,,5,2,"Developer, full-stack",100 to 499 employees,Mexico,C#;HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,2.0,Higher Education,15801.0
,25-34 years old,,Remote,,2,1,Data or business analyst,"5,000 to 9,999 employees",Egypt,JavaScript;Python;SQL;VBA,Bing AI;ChatGPT;Google Bard AI;Quora Poe;You.com,Tabnine,4.0,"Manufacturing, Transportation, or Supply Chain",6493.0
,25-34 years old,,Remote,,10,4,Data scientist or machine learning specialist,"10,000 or more employees",United States of America,Bash/Shell (all shells);C;JavaScript;PowerShell;Python;R;SQL;TypeScript,ChatGPT,GitHub Copilot;Tabnine,4.0,Financial Services,145000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,6,5,Engineering manager,20 to 99 employees,Switzerland,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA,ChatGPT,GitHub Copilot,9.0,Wholesale,132260.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,3,2,"Developer, back-end",20 to 99 employees,United States of America,Bash/Shell (all shells);Python;SQL,ChatGPT,GitHub Copilot,3.0,Financial Services,125000.0
,25-34 years old,,In-person,,8,3,"Developer, front-end",20 to 99 employees,India,C#;Dart;HTML/CSS;JavaScript;PHP;TypeScript,ChatGPT,AWS CodeWhisperer,3.0,Financial Services,6058.0
,35-44 years old,,Remote,,18,11,"Developer, full-stack",100 to 499 employees,Canada,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",145729.0
,25-34 years old,,Remote,,12,9,"Developer, back-end",500 to 999 employees,United States of America,Go;JavaScript;Python,ChatGPT,GitHub Copilot,9.0,"Information Services, IT, Software Development, or other Technology",201000.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,7,4,"Developer, back-end",10 to 19 employees,"Iran, Islamic Republic of...",HTML/CSS;JavaScript;Python;SQL;TypeScript,ChatGPT,Tabnine,5.0,"Manufacturing, Transportation, or Supply Chain",2835.0
,35-44 years old,,Remote,,18,11,"Developer, mobile",10 to 19 employees,Italy,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Swift;TypeScript,ChatGPT;Quora Poe;You.com,GitHub Copilot;Tabnine,11.0,"Information Services, IT, Software Development, or other Technology",55687.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,9,6,"Developer, full-stack",20 to 99 employees,Netherlands,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",51403.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,27,22,"Developer, full-stack",10 to 19 employees,Sweden,C#;JavaScript;PowerShell;TypeScript,Bing AI;ChatGPT,GitHub Copilot,22.0,"Information Services, IT, Software Development, or other Technology",60813.0
,25-34 years old,,Remote,,10,10,"Developer, full-stack",2 to 9 employees,United States of America,C#;Clojure;HTML/CSS;JavaScript;Python;SQL;TypeScript,ChatGPT;Phind,GitHub Copilot,10.0,Healthcare,100000.0
,35-44 years old,,Remote,,6,4,Engineering manager,2 to 9 employees,United States of America,C#;Go;HTML/CSS;PowerShell;Python,ChatGPT,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",90000.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,2,"Developer, full-stack",20 to 99 employees,Netherlands,C#;C++;HTML/CSS;JavaScript;Rust;TypeScript,ChatGPT,GitHub Copilot,2.0,"Manufacturing, Transportation, or Supply Chain",2677.0
,35-44 years old,,Remote,,25,25,"Developer, full-stack",20 to 99 employees,United States of America,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,25.0,"Information Services, IT, Software Development, or other Technology",165000.0
